naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Syringa vulgaris 'Michel Buchner',https: / www.ebben.nl / nl / treeebb / syvmbuch-syringa-vulgaris-michel-buchner,meerstammige bomen,,meerstammig parasol,,2 - 3 m,3 - 5 m,halfopen,vaas,4A - 8B,vlinders,vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Syringa vulgaris 'Primrose',https: / www.ebben.nl / nl / treeebb / syvprimr-syringa-vulgaris-primrose,,,meerstammig parasol,,2 - 3 m,3 - 5 m,halfopen,vaas,4A - 8B,vlinders,vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Syringa vulgaris 'Sensation',https: / www.ebben.nl / nl / treeebb / syvsensa-syringa-vulgaris-sensation,solitair heesters,,meerstammig parasol,,2 - 3 m,3 - 5 m,halfopen,vaas,4A - 8B,vlinders,vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt zeewind,neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Syringa vulgaris,https: / www.ebben.nl / nl / treeebb / syvulgar-syringa-vulgaris,meerstammige bomen / bosplantsoen / solitair heesters,,meerstammig parasol,,2 - 3 m,3 - 5 m,halfopen,vaas,4A - 8B,vlinders,vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / lemige grond,zon,voedselrijk,verdraagt wind / verdraagt matige zeewind,neutraal / basisch,voedselbos,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,2b,exoot
Taxus baccata,https: / www.ebben.nl / nl / treeebb / tabaccat-taxus-baccata,hoogstam bomen / halfstam bomen / beveerde bomen / meerstammige bomen / karakteristieke bomen / naaldhoutgewassen / bosplantsoen / solitair heesters,,bijenkorf / bol / blok / cilinder / piramide / kegel / meerstammig parasol / leischerm,bijenkorf / bol / schaal / steen / ei / cilinder / blok / zuil / trapezium / piramide / kegel / haag / haagelement / berceau / bonsai,8 - 12 m,10 - 15 m,gesloten,breed piramidaal,6A - 9A,bijen / vlinders / vogels / uilen / nectarwaarde 0 / pollenwaarde 3,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,schaduwtolerant / stedelijke beplanting,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / landschap / ecologische zone",geen,1a,inheems
Taxus baccata 'Dovastonii Aurea',https: / www.ebben.nl / nl / treeebb / tabdaure-taxus-baccata-dovastonii-aurea,solitair heesters,,,,4 - 8 m,5 - 10 m,halfopen,breed eirond,5B - 9A,bijen / vogels / nectarwaarde 0 / pollenwaarde 3,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,,neutraal / basisch,stedelijke beplanting,"park / groenstrook / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie",geen,,
Taxus baccata 'Dovastoniana',https: / www.ebben.nl / nl / treeebb / tabdovas-taxus-baccata-dovastoniana,karakteristieke bomen / naaldhoutgewassen / solitair heesters,,meerstammig parasol,,3 - 4 m,3 - 4 m,,breed ovaal,5B - 9A,bijen / vogels / nectarwaarde 0 / pollenwaarde 3,droog / vochtig,verdraagt droogte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,neutraal / basisch,stedelijke beplanting,park / groenstrook / grote tuin / kleine tuin / begraafplaats / kustgebied,geen,,
Taxus baccata 'Fastigiata',https: / www.ebben.nl / nl / treeebb / tabfasti-taxus-baccata-fastigiata,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,,,1 - 2 m,4 - 6 m,gesloten,zuil,5B - 8B,bijen / vogels / nectarwaarde 0 / pollenwaarde 3,droog / vochtig,verdraagt droogte,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant / stedelijke beplanting,park / grote tuin / kleine tuin / begraafplaats,geen,,
Taxus baccata 'Semperaurea',https: / www.ebben.nl / nl / treeebb / tabsempe-taxus-baccata-semperaurea,solitair heesters,,,,2 - 4 m,2 - 4 m,gesloten,vaas,6A - 9B,bijen / vogels / nectarwaarde 0 / pollenwaarde 3,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,neutraal / basisch,stedelijke beplanting,"park / groenstrook / bakken / containers / grote tuin / kleine tuin / verkeer, industrie",geen,,
Taxus cuspidata f. nana,https: / www.ebben.nl / nl / treeebb / tacnana-taxus-cuspidata-f-nana,karakteristieke bomen / naaldhoutgewassen,,meerstammig parasol,,1 - 4 m,"0,5 - 2 m",gesloten,afgeplat rond,5A - 8B,,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,"park / grote tuin / kleine tuin / begraafplaats / verkeer, industrie",geen,,
Taxus cuspidata,https: / www.ebben.nl / nl / treeebb / tacuspid-taxus-cuspidata,karakteristieke bomen / naaldhoutgewassen / solitair heesters,,meerstammig parasol,bol / bonsai,"2,5 - 3,5 m","2,5 - 3,5 m",gesloten,vaas,5A - 10B,,droog / vochtig,verdraagt luchtverontreiniging,zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal / basisch,,"park / grote tuin / kleine tuin / verkeer, industrie / kustgebied",geen,,
Taxodium distichum 'Cascade Falls',https: / www.ebben.nl / nl / treeebb / tadcfall-taxodium-distichum-cascade-falls,hoogstam bomen / naaldhoutgewassen,,,,"1,5 - 2,5 m","2,5 - 6 m",gesloten,smal treur,6A - 10B,,vochtig / nat,,zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal,,park / grote tuin / kleine tuin / begraafplaats,,,
Taxodium distichum,https: / www.ebben.nl / nl / treeebb / tadistic-taxodium-distichum,hoogstam bomen / beveerde bomen / meerstammige bomen / karakteristieke bomen / naaldhoutgewassen / bosplantsoen,,bijenkorf / blok / meerstammig parasol,,6 - 12 m,18 - 30 m,halfopen,piramidaal,6A - 10B,,droog / vochtig / nat / zeer nat,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte / verdraagt kortstondige overstroming,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon,voedselarm / matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal,,"laan / parkeerplaats / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / wadi",geen / open / dicht,,
Taxodium distichum 'Nutans',https: / www.ebben.nl / nl / treeebb / tadnutan-taxodium-distichum-nutans,hoogstam bomen / naaldhoutgewassen,,,,"4,5 - 6 m",15 - 20 m,,smal piramidaal,6A - 10B,,vochtig / nat,verdraagt luchtverontreiniging,veen / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt wind,zuur / neutraal,,"laan / park / grote tuin / begraafplaats / verkeer, industrie",geen / open,,
Taxus x media 'Densiformis',https: / www.ebben.nl / nl / treeebb / tamdensi-taxus-x-media-densiformis,naaldhoutgewassen,onderbeplanting,,bonsai,2 - 3 m,"1 - 1,5 m",gesloten,rond,5B - 9B,,droog / vochtig,verdraagt droogte,zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal / basisch,stedelijke beplanting,park / groenstrook / grote tuin / kleine tuin,geen,,
Taxus x media 'Hicksii',https: / www.ebben.nl / nl / treeebb / tamhicks-taxus-x-media-hicksii,karakteristieke bomen / naaldhoutgewassen / solitair heesters,onderbeplanting,bijenkorf / meerstammig parasol,bijenkorf / piramide / kegel,3 - 4 m,3 - 5 m,gesloten,zuil,5B - 9B,,droog / vochtig,verdraagt droogte,zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant / stedelijke beplanting,,,,
Taxus x media 'Hillii',https: / www.ebben.nl / nl / treeebb / tamhilli-taxus-x-media-hillii,naaldhoutgewassen / solitair heesters,onderbeplanting,,cilinder / blok / zuil,"2 - 3,5 m",3 - 5 m,gesloten,breed piramidaal,5B - 9B,,droog / vochtig,verdraagt droogte,zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal / basisch,stedelijke beplanting,groenstrook / grote tuin / kleine tuin / begraafplaats,geen,,
Tamarix ramosissima,https: / www.ebben.nl / nl / treeebb / taramosi-tamarix-ramosissima,solitair heesters,,,,3 - 4 m,3 - 4 m,open,vaas,4A - 13B,bijen / vlinders,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / verdraagt kortstondige overstroming,löss / zavel / zand / lemige grond,zon,voedselarm / matig voedselrijk,verdraagt wind / verdraagt zeewind,,stedelijke beplanting,park / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / wadi / kustgebied,geen,,
Tamarix ramosissima 'Pink Cascade',https: / www.ebben.nl / nl / treeebb / tarpcasc-tamarix-ramosissima-pink-cascade,hoogstam bomen / meerstammige bomen / klimaatbomen / solitair heesters,,meerstammig parasol,,"3,5 - 4,5 m","4,5 - 6 m",open,vaas,4A - 8B,bijen,zeer droog / droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,klimaatbeplanting / solide beplanting / stedelijke beplanting,"park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / landschap / kustgebied",geen,,
Tamarix tetrandra,https: / www.ebben.nl / nl / treeebb / tatetran-tamarix-tetrandra,hoogstam bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,2 - 3 m,3 - 4 m,open,vaas,6A - 11B,,zeer droog / droog,verdraagt droogte,löss / zand,zon,voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,,park / groenstrook / grote tuin / kleine tuin / kustgebied,geen,,
Tetradium daniellii,https: / www.ebben.nl / nl / treeebb / tedaniel-tetradium-daniellii,hoogstam bomen / meerstammige bomen / karakteristieke bomen,,meerstammig parasol,,8 - 10 m,8 - 10 m,halfopen,breed vaas,7A - 8B,bijen / vlinders / vogels / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,ecobeplanting / stedelijke beplanting,park / groenstrook / grote tuin / begraafplaats,geen,,
Tetradium daniellii var. hupehensis,https: / www.ebben.nl / nl / treeebb / tedhupeh-tetradium-daniellii-var-hupehensis,hoogstam bomen / meerstammige bomen / karakteristieke bomen,,meerstammig parasol,,8 - 12 m,8 - 12 m,halfopen,breed vaas,5A - 8B,bijen / vlinders / vogels / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,ecobeplanting,park / groenstrook / grote tuin / begraafplaats,geen,,
Tetrapanax papyrifer,https: / www.ebben.nl / nl / treeebb / tepapyri-tetrapanax-papyrifer,karakteristieke bomen / solitair heesters,,,,2 - 3 m,3 - 7 m,open,vaas,8A - 13B,bijen,vochtig / nat,verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,voedselarm / matig voedselrijk / voedselrijk,verdraagt matige wind,neutraal,,bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Thuja occidentalis 'Brabant',https: / www.ebben.nl / nl / treeebb / thobraba-thuja-occidentalis-brabant,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,,kegel / haagelement,3 - 6 m,15 - 20 m,gesloten,piramidaal,3A - 7B,uilen,droog / vochtig / nat,verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,"park / grote tuin / begraafplaats / verkeer, industrie / windsingel",geen,,
Thuja occidentalis,https: / www.ebben.nl / nl / treeebb / thoccide-thuja-occidentalis,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,,,3 - 4 m,15 - 20 m,gesloten,smal piramidaal,3A - 10A,uilen,droog / vochtig,verdraagt luchtverontreiniging / verdraagt hitte,zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal / basisch,,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / windsingel",geen,,
Thuja occidentalis 'Smaragd',https: / www.ebben.nl / nl / treeebb / thosmara-thuja-occidentalis-smaragd,naaldhoutgewassen,,bijenkorf,kegel / haagelement,"1 - 1,8 m",4 - 6 m,gesloten,zuil,3A - 8B,,droog / vochtig / nat,verdraagt luchtverontreiniging,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,"park / grote tuin / begraafplaats / verkeer, industrie",geen,,
Thuja plicata 'Atrovirens',https: / www.ebben.nl / nl / treeebb / thpatrov-thuja-plicata-atrovirens,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,,,3 - 5 m,10 - 15 m,gesloten,piramidaal,6A - 9A,uilen,vochtig,verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,"park / grote tuin / begraafplaats / verkeer, industrie",geen,,
Thuja plicata 'Excelsa',https: / www.ebben.nl / nl / treeebb / thpexcel-thuja-plicata-excelsa,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,blok / cilinder,,2 - 4 m,4 - 6 m,gesloten,smal piramidaal,6A - 9B,,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal,,"park / grote tuin / begraafplaats / verkeer, industrie",geen,,
Thuja plicata 'Gelderland',https: / www.ebben.nl / nl / treeebb / thpgelde-thuja-plicata-gelderland,naaldhoutgewassen,,leischerm,,2 - 4 m,8 - 12 m,gesloten,smal piramidaal,6A - 8B,uilen,vochtig / nat,verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen,,
Thuja plicata,https: / www.ebben.nl / nl / treeebb / thplicat-thuja-plicata,hoogstam bomen / beveerde bomen / naaldhoutgewassen,,leischerm,,5 - 8 m,15 - 20 m,gesloten,smal piramidaal,6A - 9A,uilen,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal,,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen,,
Tilia americana 'American Sentry',https: / www.ebben.nl / nl / treeebb / tiaasent-tilia-americana-american-sentry,hoogstam bomen / beveerde bomen / schaduwbomen,,,,7 - 9 m,12 - 15 m,halfopen,piramidaal,5B - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt droogte,zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,ecobeplanting / landschappelijke beplanting / schaduwtolerant / stedelijke beplanting,laan / park / grote tuin / begraafplaats,geen / open,,
Tilia americana 'Fastigiata',https: / www.ebben.nl / nl / treeebb / tiafasti-tilia-americana-fastigiata,hoogstam bomen / beveerde bomen,,,,9 - 12 m,15 - 21 m,gesloten,zuil,5B - 8B,,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,"straat / laan / park / verkeer, industrie",geen,,
Tilia americana,https: / www.ebben.nl / nl / treeebb / tiameric-tilia-americana,hoogstam bomen / beveerde bomen / meerstammige bomen / schaduwbomen,,,,9 - 15 m,25 - 30 m,halfopen,eirond,5B - 8B,bijen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal,ecobeplanting / landschappelijke beplanting / schaduwtolerant / stedelijke beplanting,"laan / park / verkeer, industrie",geen,,
Tilia americana 'Moltkei',https: / www.ebben.nl / nl / treeebb / tiamoltk-tilia-americana-moltkei,hoogstam bomen / schaduwbomen,,,,15 - 20 m,25 - 30 m,halfopen,breed eirond,5B - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt luchtverontreiniging / weinig tot zelden luisaantasting / curiositeit,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,ecobeplanting / landschappelijke beplanting / schaduwtolerant,"laan / park / grote tuin / begraafplaats / verkeer, industrie / landschap",geen,,
Tilia amurensis,https: / www.ebben.nl / nl / treeebb / tiamuren-tilia-amurensis,hoogstam bomen / meerstammige bomen / schaduwbomen,,,,15 - 20 m,20 - 25 m,gesloten,breed eirond,4A - 8B,bijen,droog / vochtig,,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,neutraal / basisch,,park / groenstrook / grote tuin / begraafplaats / landschap / ecologische zone,geen,,
Tilia americana 'Nova',https: / www.ebben.nl / nl / treeebb / tianova-tilia-americana-nova,hoogstam bomen / meerstammige bomen / schaduwbomen,,,,15 - 20 m,20 - 25 m,halfopen,breed eirond,5B - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt luchtverontreiniging / verdraagt hitte,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,ecobeplanting / landschappelijke beplanting / schaduwtolerant,"laan / park / grote tuin / begraafplaats / verkeer, industrie / landschap",geen,,
Tilia americana 'Redmond',https: / www.ebben.nl / nl / treeebb / tiaredmo-tilia-americana-redmond,hoogstam bomen / schaduwbomen,,blok / kandelaber,,10 - 12 m,20 - 25 m,gesloten,ovaal / piramidaal,5B - 8B,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging / weinig tot zelden luisaantasting,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,ecobeplanting / landschappelijke beplanting / schaduwtolerant / stedelijke beplanting,straat / laan / plein / park / groenstrook / grote tuin / begraafplaats / landschap / ecologische zone / windsingel,geen / open / dicht,,
